Alpha Clicks,Alpha Conversions,Compiled,Beta Impressions,Beta Clicks,Compiled,Search term,Match type,Added/Excluded,Campaign,Type,Ad group,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conversions,Cost / conv.,Conv. rate,Campaign type
,,,,,,gifts for employees for christmas,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Gifts,0,4,0.00,USD,--,0.00,0,0.00,0.00,Search
,,,,,,employment awards,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Employee Awards,0,4,0.00,USD,--,0.00,0,0.00,0.00,Search
,,,,,,business gifts for clients,Exact match (close variant),None,Google_Search_NB_Client_Holiday_Gifts_Beta,Beta,Gift Ideas,0,4,0.00,USD,--,0.00,0,0.00,0.00,Search
,,,,,,motivating employees,Broad match,None,Google_Search_NB_Resources_Beta,Beta,employee motivation,0,4,0.00,USD,--,0.00,0,0.00,0.00,Search
,,,,,,words to motivate employees,Broad match,None,Google_Search_NB_Resources_Beta,Beta,employee motivation,0,4,0.00,USD,--,0.00,0,0.00,0.00,Search
,,,,,,unique holiday gifts for coworkers,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Gifts,0,4,0.00,USD,--,0.00,0,0.00,0.00,Search
,,,,,,unique high end corporate gifts,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Gifts,1,3,0.33,USD,2.07,2.07,1,2.07,1.00,Search
,,,,,,loop pointrecognition com bekaert,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,2,3,0.67,USD,1.33,2.66,0,0.00,0.00,Search
,,,,,,perk program,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Perks,2,3,0.67,USD,1.84,3.68,0,0.00,0.00,Search
,,,,,,corporate incentive travel,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Travel,2,3,0.67,USD,10.96,21.92,0,0.00,0.00,Search
,,,,,,employee perks programs,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Perks,2,3,0.67,USD,5.14,10.27,0,0.00,0.00,Search
,,,,,,ideas for company christmas gifts,Broad match,None,Google_Search_NB_AllGeos_Beta,Beta,Gifts,2,3,0.67,USD,1.84,3.68,0,0.00,0.00,Search
,,,,,,peer recognition programs ideas,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Recognition,2,3,0.67,USD,7.27,14.53,0,0.00,0.00,Search
,,,,,,coupons for employees,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Rewards,2,3,0.67,USD,4.74,9.48,0,0.00,0.00,Search
,,,,,,my wm total rewards benefits,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Rewards,2,3,0.67,USD,1.33,2.66,0,0.00,0.00,Search
,,,,,,blueboard employee recognition,Exact match,Added,Google_Search_Brand_AllGeos_Alpha,Alpha,Brand Recognition,2,3,0.67,USD,18.58,37.15,0,0.00,0.00,Search
,,,,,,gifts for employee work anniversary,Broad match,None,Google_Search_NB_AllGeos_Beta,Beta,Anniversary,2,3,0.67,USD,4.32,8.63,0,0.00,0.00,Search
,,,,,,perfect attendance bonus program,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Bonus,2,3,0.67,USD,2.86,5.72,0,0.00,0.00,Search
,,,,,,work incentives ideas,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Incentive,2,3,0.67,USD,3.40,6.79,0,0.00,0.00,Search
,,,,,,reward systems for employees,Broad match,None,Google_Search_NB_AllGeos_Beta,Beta,Rewards,2,3,0.67,USD,5.77,11.54,0,0.00,0.00,Search
,,,,,,employee incentive program examples,Phrase match (close variant),None,Google_Search_NB_AllGeos_Beta,Beta,Incentive,2,3,0.67,USD,2.45,4.90,0,0.00,0.00,Search
,,,,,,mcdonald perks,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Perks,2,3,0.67,USD,1.20,2.39,0,0.00,0.00,Search
,,,,,,bannerhealth isrewards com,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Rewards,2,3,0.67,USD,1.48,2.96,0,0.00,0.00,Search
,,,,,,best gift for employees,Phrase match (close variant),None,Google_Search_NB_AllGeos_Beta,Beta,Gifts,2,3,0.67,USD,0.97,1.93,0,0.00,0.00,Search
,,,,,,gifts for office managers,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Gifts,2,3,0.67,USD,0.88,1.75,0,0.00,0.00,Search
,,,,,,corporate team gift ideas,Broad match,None,Google_Search_NB_AllGeos_Beta,Beta,Gifts,2,3,0.67,USD,1.78,3.56,0,0.00,0.00,Search
,,,,,,gifts from employer to employee,Broad match,None,Google_Search_NB_AllGeos_Beta,Beta,Gifts,2,3,0.67,USD,1.71,3.41,0,0.00,0.00,Search
,,,,,,motivational message to employees,Broad match,None,Google_Search_NB_Resources_Beta,Beta,employee motivation,2,3,0.67,USD,1.84,3.68,0,0.00,0.00,Search
,,,,,,improve employee retention,Phrase match,None,Google_Search_NB_Resources_Beta,Beta,employee retention,2,3,0.67,USD,2.97,5.94,0,0.00,0.00,Search
,,,,,,companies that supply incentive trips,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Travel,2,3,0.67,USD,3.86,7.71,0,0.00,0.00,Search
,,,,,,insurance restoration referral programs,Phrase match (close variant),None,Google_Search_NB_AllGeos_Charlie,Charlie,Referral,2,3,0.67,USD,1.45,2.90,0,0.00,0.00,Search
,,,,,,total rewards education products,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Rewards,2,3,0.67,USD,1.50,3.00,0,0.00,0.00,Search
,,,,,,achievers meijer,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,2,3,0.67,USD,1.36,2.72,0,0.00,0.00,Search
,,,,,,recognition cards for employees,Broad match,None,Google_Search_NB_AllGeos_Beta,Beta,Recognition,2,3,0.67,USD,4.33,8.66,0,0.00,0.00,Search
,,,,,,gift ideas for female employees,Broad match,None,Google_Search_NB_AllGeos_Beta,Beta,Gifts,2,3,0.67,USD,0.65,1.29,0,0.00,0.00,Search
,,,,,,www awardselect com nexcom12,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,2,3,0.67,USD,1.26,2.52,0,0.00,0.00,Search
,,,,,,dc 37 rewards,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Rewards,2,3,0.67,USD,1.57,3.13,0,0.00,0.00,Search
,,,,,,https www awardselect com unfi18,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,2,3,0.67,USD,1.14,2.28,0,0.00,0.00,Search
,,,,,,netspend employee rewards,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Rewards,2,3,0.67,USD,2.65,5.30,0,0.00,0.00,Search
,,,,,,referralcandy alternative,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Referral,2,3,0.67,USD,2.64,5.28,0,0.00,0.00,Search
,,,,,,programawardcenter biworldwide com,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,2,3,0.67,USD,1.72,3.44,0,0.00,0.00,Search
,,,,,,meaningful gifts for employees,Phrase match (close variant),None,Google_Search_NB_AllGeos_Beta,Beta,Gifts,2,3,0.67,USD,1.92,3.84,0,0.00,0.00,Search
,,,,,,reward coupons for employees,Broad match,None,Google_Search_NB_AllGeos_Beta,Beta,Rewards,2,3,0.67,USD,5.82,11.63,0,0.00,0.00,Search
,,,,,,extended stay employee perks,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Perks,2,3,0.67,USD,2.07,4.14,0,0.00,0.00,Search
,,,,,,http www crothallgem com,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,2,3,0.67,USD,2.97,5.93,0,0.00,0.00,Search
,,,,,,20th work anniversary gifts,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Anniversary,2,3,0.67,USD,2.32,4.63,0,0.00,0.00,Search
,,,,,,meijer achievers,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,2,3,0.67,USD,1.23,2.45,0,0.00,0.00,Search
,,,,,,employee incentives ideas,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Incentive,2,3,0.67,USD,4.07,8.13,0,0.00,0.00,Search
,,,,,,non traditional employee benefits,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Perks,2,3,0.67,USD,1.13,2.26,0,0.00,0.00,Search
,,,,,,cash referrals info,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Referral,2,3,0.67,USD,2.67,5.34,0,0.00,0.00,Search
,,,,,,disney retiree com,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Retirement,2,3,0.67,USD,1.06,2.12,0,0.00,0.00,Search
,,,,,,how to keep your employees motivated,Exact match (close variant),None,Google_Search_NB_Resources_Beta,Beta,employee motivation,2,3,0.67,USD,2.46,4.92,0,0.00,0.00,Search
,,,,,,swalifecultureemployee recognitionswaglaunch swag,Phrase match (close variant),None,Google_Search_NB_AllGeos_Beta,Beta,Recognition,2,3,0.67,USD,3.21,6.41,0,0.00,0.00,Search
,,,,,,how to motivate the team to improve performance in the workplace,Exact match (close variant),None,Google_Search_NB_Resources_Beta,Beta,employee motivation,2,3,0.67,USD,2.36,4.71,0,0.00,0.00,Search
,,,,,,employer branding examples,Exact match,Added,Google_Search_NB_Resources_Beta,Beta,employer brand,2,3,0.67,USD,2.56,5.12,0,0.00,0.00,Search
,,,,,,volunteer incentive program ideas,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,2,3,0.67,USD,2.69,5.37,0,0.00,0.00,Search
,,,,,,www perkspot com,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Perks,2,3,0.67,USD,1.28,2.56,0,0.00,0.00,Search
,,,,,,hertzrecognitionsawardco com,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,2,3,0.67,USD,1.81,3.61,0,0.00,0.00,Search
,,,,,,www awardselect com akronawarddinner,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,2,3,0.67,USD,1.50,2.99,0,0.00,0.00,Search
,,,,,,recognition rewards,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,2,3,0.67,USD,1.54,3.08,0,0.00,0.00,Search
,,,,,,boeing retirement service center,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Retirement,2,3,0.67,USD,2.28,4.55,0,0.00,0.00,Search
,,,,,,http portal pointrecognition com,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,2,3,0.67,USD,1.07,2.13,0,0.00,0.00,Search
,,,,,,best gifts for emplyees,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Gifts,2,3,0.67,USD,2.20,4.40,0,0.00,0.00,Search
,,,,,,real estate referral programs,Phrase match (close variant),None,Google_Search_NB_AllGeos_Charlie,Charlie,Referral,2,3,0.67,USD,3.09,6.18,0,0.00,0.00,Search
,,,,,,www penskesafetyawards com,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,2,3,0.67,USD,1.36,2.72,0,0.00,0.00,Search
,,,,,,benefitshelp coxinc com,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Retirement,2,3,0.67,USD,1.12,2.24,0,0.00,0.00,Search
,,,,,,ideas for referral programs,Phrase match (close variant),None,Google_Search_NB_AllGeos_Charlie,Charlie,Referral,2,3,0.67,USD,2.99,5.98,0,0.00,0.00,Search
,,,,,,if you were the leader of a community with high employee turnover what 3 things would you do to increast retention and employee,Broad match,None,Google_Search_NB_Resources_Beta,Beta,employee retention,2,3,0.67,USD,2.06,4.11,0,0.00,0.00,Search
,,,,,,pointrecognition,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,2,3,0.67,USD,1.94,3.87,0,0.00,0.00,Search
,,,,,,cvs employee benefits,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Rewards,2,3,0.67,USD,1.39,2.77,0,0.00,0.00,Search
,,,,,,letter of recognition for outstanding performance,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,2,3,0.67,USD,0.75,1.50,0,0.00,0.00,Search
,,,,,,becu referral program,Phrase match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Referral,2,3,0.67,USD,1.17,2.34,0,0.00,0.00,Search
,,,,,,best gifts to get employees,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Gifts,2,3,0.67,USD,0.84,1.67,0,0.00,0.00,Search
,,,,,,www awardselect com wintrust1,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,2,3,0.67,USD,1.94,3.87,0,0.00,0.00,Search
,,,,,,corporate perks discounts,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Perks,2,3,0.67,USD,2.49,4.98,0,0.00,0.00,Search
,,,,,,recognition email example,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,2,3,0.67,USD,1.13,2.26,0,0.00,0.00,Search
,,,,,,gift ideas for your direct reports,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Gifts,2,3,0.67,USD,0.91,1.81,0,0.00,0.00,Search
,,,,,,employee referral vouchers,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Referral,2,3,0.67,USD,4.50,9.00,0,0.00,0.00,Search
,,,,,,www globalforce net,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,2,3,0.67,USD,1.26,2.52,0,0.00,0.00,Search
,,,,,,www mybbyrewards com,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Rewards,2,3,0.67,USD,2.23,4.46,0,0.00,0.00,Search
,,,,,,church worker appreciation ideas,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,2,3,0.67,USD,1.22,2.44,0,0.00,0.00,Search
,,,,,,best b2b saas referral programs,Phrase match (close variant),None,Google_Search_NB_AllGeos_Charlie,Charlie,Referral,1,3,0.33,USD,4.74,4.74,0,0.00,0.00,Search
,,,,,,work anniversary gifts for employees,Broad match,None,Google_Search_NB_AllGeos_Beta,Beta,Anniversary,1,3,0.33,USD,3.09,3.09,0,0.00,0.00,Search
,,,,,,accounting gifts for employees,Broad match,None,Google_Search_NB_AllGeos_Beta,Beta,Gifts,1,3,0.33,USD,1.16,1.16,0,0.00,0.00,Search
,,,,,,sales award wording,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Sales Award,1,3,0.33,USD,1.57,1.57,0,0.00,0.00,Search
,,,,,,gifts for employees christmas,Phrase match (close variant),None,Google_Search_NB_AllGeos_Beta,Beta,Gifts,1,3,0.33,USD,2.49,2.49,0,0.00,0.00,Search
,,,,,,award programs for employees top rated,Broad match,None,Google_Search_NB_AllGeos_Beta,Beta,Employee Awards,1,3,0.33,USD,9.07,9.07,0,0.00,0.00,Search
,,,,,,employee recognition award categories,Broad match,None,Google_Search_NB_AllGeos_Beta,Beta,Employee Awards,1,3,0.33,USD,1.28,1.28,0,0.00,0.00,Search
,,,,,,practical employee gifts,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Gifts,1,3,0.33,USD,4.53,4.53,0,0.00,0.00,Search
,,,,,,nyc employee retirement system,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Retirement,1,3,0.33,USD,1.76,1.76,0,0.00,0.00,Search
,,,,,,employee referral campaigns,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Referral,1,3,0.33,USD,2.36,2.36,0,0.00,0.00,Search
,,,,,,awards,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Employee Awards,1,3,0.33,USD,2.33,2.33,0,0.00,0.00,Search
,,,,,,years of service gifts,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Anniversary,1,3,0.33,USD,2.05,2.05,0,0.00,0.00,Search
,,,,,,job1rewards,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Rewards,1,3,0.33,USD,2.15,2.15,0,0.00,0.00,Search
,,,,,,employee 10 year anniversary,Broad match,None,Google_Search_NB_AllGeos_Beta,Beta,Anniversary,1,3,0.33,USD,4.14,4.14,0,0.00,0.00,Search
,,,,,,awards for employees,Exact match (close variant),None,Google_Search_NB_AllGeos_Beta,Beta,Employee Awards,1,3,0.33,USD,2.72,2.72,0,0.00,0.00,Search
,,,,,,driver incentive program examples,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Rewards,1,3,0.33,USD,2.01,2.01,0,0.00,0.00,Search
,,,,,,www selectagiftplan com rndc,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,1,3,0.33,USD,1.14,1.14,0,0.00,0.00,Search
,,,,,,nomination template for awards,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Employee Awards,1,3,0.33,USD,2.60,2.60,0,0.00,0.00,Search
,,,,,,how to sign up for staples associate rewards,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Rewards,1,3,0.33,USD,1.33,1.33,0,0.00,0.00,Search
,,,,,,awards for sales performance,Phrase match (close variant),None,Google_Search_NB_AllGeos_Beta,Beta,Sales Award,1,3,0.33,USD,3.52,3.52,0,0.00,0.00,Search
,,,,,,bonus compensation plan,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Incentive,1,3,0.33,USD,4.13,4.13,0,0.00,0.00,Search
,,,,,,appreciation points thomson reuters,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,1,3,0.33,USD,2.50,2.50,0,0.00,0.00,Search
,,,,,,giantfood com flexible rewards,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Rewards,1,3,0.33,USD,1.36,1.36,0,0.00,0.00,Search
,,,,,,mtm recognition catalog,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,1,3,0.33,USD,0.85,0.85,0,0.00,0.00,Search
,,,,,,earn 100 dollar per referral,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Referral,1,3,0.33,USD,1.17,1.17,0,0.00,0.00,Search
,,,,,,baudville,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Appreciation,1,3,0.33,USD,2.46,2.46,0,0.00,0.00,Search
,,,,,,employee kudos,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,1,3,0.33,USD,0.49,0.49,0,0.00,0.00,Search
,,,,,,champion national security referral program,Phrase match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Referral,1,3,0.33,USD,0.79,0.79,0,0.00,0.00,Search
,,,,,,omg gifts co,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Gifts,1,3,0.33,USD,3.27,3.27,0,0.00,0.00,Search
,,,,,,20 years of service gifts ideas,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,1,3,0.33,USD,0.29,0.29,0,0.00,0.00,Search
,,,,,,peer to peer recognition ideas,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Appreciation,1,3,0.33,USD,1.80,1.80,0,0.00,0.00,Search
,,,,,,unique gifts for employees 2019,Phrase match (close variant),None,Google_Search_NB_AllGeos_Beta,Beta,Gifts,1,3,0.33,USD,0.96,0.96,0,0.00,0.00,Search
,,,,,,best holiday gifts for employees,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Gifts,1,3,0.33,USD,4.77,4.77,0,0.00,0.00,Search
,,,,,,hca employee recognition program,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Recognition,1,3,0.33,USD,2.53,2.53,0,0.00,0.00,Search
,,,,,,employee recognition trends 2019,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Recognition,1,3,0.33,USD,6.69,6.69,0,0.00,0.00,Search
,,,,,,google employee recognition programs,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Recognition,1,3,0.33,USD,1.64,1.64,0,0.00,0.00,Search
,,,,,,home perks program,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Perks,1,3,0.33,USD,1.29,1.29,0,0.00,0.00,Search
,,,,,,gifts for busy executives,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Gifts,1,3,0.33,USD,0.75,0.75,0,0.00,0.00,Search
,,,,,,wording on certificates of appreciation,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Appreciation,1,3,0.33,USD,1.09,1.09,0,0.00,0.00,Search
,,,,,,christmas gift ideas for construction employees,Broad match,None,Google_Search_NB_AllGeos_Beta,Beta,Gifts,1,3,0.33,USD,0.89,0.89,0,0.00,0.00,Search
,,,,,,gap employee aniversary,Phrase match (close variant),None,Google_Search_NB_AllGeos_Beta,Beta,Anniversary,1,3,0.33,USD,1.16,1.16,0,0.00,0.00,Search
,,,,,,millennial management,Exact match (close variant),None,Google_Search_NB_AllGeos_Beta,Beta,millennials,1,3,0.33,USD,1.26,1.26,0,0.00,0.00,Search
,,,,,,unique gifts for office workers,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Gifts,1,3,0.33,USD,1.43,1.43,0,0.00,0.00,Search
,,,,,,how to celebrate employee birthdays,Phrase match (close variant),None,Google_Search_NB_AllGeos_Beta,Beta,Employee Birthday,1,3,0.33,USD,3.31,3.31,0,0.00,0.00,Search
,,,,,,peer to peer recognition program,Phrase match (close variant),None,Google_Search_NB_AllGeos_Beta,Beta,Recognition,1,3,0.33,USD,6.77,6.77,0,0.00,0.00,Search
,,,,,,new year gift for employees,Phrase match (close variant),None,Google_Search_NB_AllGeos_Beta,Beta,Gifts,1,3,0.33,USD,0.55,0.55,0,0.00,0.00,Search
,,,,,,employer branding ideas,Phrase match,None,Google_Search_NB_Resources_Beta,Beta,employer brand,1,3,0.33,USD,4.56,4.56,0,0.00,0.00,Search
,,,,,,management skills involved in the engagement and motivation of personnel,Broad match,None,Google_Search_NB_Resources_Beta,Beta,employee motivation,1,3,0.33,USD,2.15,2.15,0,0.00,0.00,Search
,,,,,,$100 gift ideas for employees,Phrase match (close variant),None,Google_Search_NB_AllGeos_Beta,Beta,Gifts,1,3,0.33,USD,1.09,1.09,0,0.00,0.00,Search
,,,,,,employee recognition board,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Recognition,1,3,0.33,USD,5.54,5.54,0,0.00,0.00,Search
,,,,,,motivational sayings for employees,Broad match,None,Google_Search_NB_Resources_Beta,Beta,employee motivation,1,3,0.33,USD,2.80,2.80,0,0.00,0.00,Search
,,,,,,how supervisors motivate employees,Broad match,None,Google_Search_NB_Resources_Beta,Beta,employee motivation,1,3,0.33,USD,2.09,2.09,0,0.00,0.00,Search
,,,,,,companies with matching gift programs,Broad match,None,Google_Search_NB_AllGeos_Beta,Beta,Gifts,1,3,0.33,USD,2.81,2.81,0,0.00,0.00,Search
,,,,,,holiday gift for employees direct ship,Phrase match (close variant),None,Google_Search_NB_AllGeos_Beta,Beta,Gifts,1,3,0.33,USD,2.59,2.59,0,0.00,0.00,Search
,,,,,,employee gifts under $50,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Gifts,1,3,0.33,USD,1.95,1.95,0,0.00,0.00,Search
,,,,,,25 year employee anniversary gifts,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Anniversary,1,3,0.33,USD,4.20,4.20,0,0.00,0.00,Search
,,,,,,25 year work anniversary,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Anniversary,1,3,0.33,USD,3.00,3.00,0,0.00,0.00,Search
,,,,,,starbucks perks for employees,Phrase match (close variant),None,Google_Search_NB_AllGeos_Beta,Beta,Perks,1,3,0.33,USD,2.19,2.19,0,0.00,0.00,Search
,,,,,,employee motivation quiz,Phrase match,None,Google_Search_NB_Resources_Beta,Beta,employee motivation,1,3,0.33,USD,3.52,3.52,0,0.00,0.00,Search
,,,,,,bank referral software,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Referral,1,3,0.33,USD,6.81,6.81,0,0.00,0.00,Search
,,,,,,best company benefits,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Perks,1,3,0.33,USD,1.99,1.99,0,0.00,0.00,Search
,,,,,,www sgcbenefits com http www sgcbenefits com,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Rewards,1,3,0.33,USD,1.41,1.41,0,0.00,0.00,Search
,,,,,,service award gift ideas,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Anniversary,1,3,0.33,USD,3.48,3.48,0,0.00,0.00,Search
,,,,,,hotel sales manager incentive plan,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Sales Incentive,1,3,0.33,USD,0.89,0.89,0,0.00,0.00,Search
,,,,,,www novolex accessperks com,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Perks,1,3,0.33,USD,1.24,1.24,0,0.00,0.00,Search
,,,,,,gifts for staff members,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Gifts,1,3,0.33,USD,2.10,2.10,0,0.00,0.00,Search
,,,,,,https nestlerealrecognition performnet com,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,1,3,0.33,USD,2.26,2.26,0,0.00,0.00,Search
,,,,,,bonus incentive plans,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Incentive,1,3,0.33,USD,1.66,1.66,0,0.00,0.00,Search
,,,,,,best well ess corporate gift,Phrase match (close variant),None,Google_Search_NB_AllGeos_Beta,Beta,Gifts,1,3,0.33,USD,1.42,1.42,0,0.00,0.00,Search
,,,,,,employee appreciation gifts under $10,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Appreciation,1,3,0.33,USD,2.98,2.98,0,0.00,0.00,Search
,,,,,,free recognition programs,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Recognition,1,3,0.33,USD,27.54,27.54,0,0.00,0.00,Search
,,,,,,gift ideas for company owners,Broad match,None,Google_Search_NB_AllGeos_Beta,Beta,Gifts,1,3,0.33,USD,2.48,2.48,0,0.00,0.00,Search
,,,,,,respect examples for nomination employee,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,1,3,0.33,USD,0.89,0.89,0,0.00,0.00,Search
,,,,,,40th anniversary giveaways for company under $2.00,Broad match,None,Google_Search_NB_AllGeos_Beta,Beta,Anniversary,1,3,0.33,USD,2.11,2.11,0,0.00,0.00,Search
,,,,,,best sales award,Phrase match (close variant),None,Google_Search_NB_AllGeos_Beta,Beta,Sales Award,1,3,0.33,USD,3.51,3.51,0,0.00,0.00,Search
,,,,,,www awardselect com lahey48,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,1,3,0.33,USD,1.78,1.78,0,0.00,0.00,Search
,,,,,,money management for millennials,Broad match,None,Google_Search_NB_AllGeos_Beta,Beta,millennials,1,3,0.33,USD,4.63,4.63,0,0.00,0.00,Search
,,,,,,what do start ups do for employee anniversaries,Phrase match (close variant),None,Google_Search_NB_AllGeos_Beta,Beta,Anniversary,1,3,0.33,USD,2.78,2.78,0,0.00,0.00,Search
,,,,,,motivational programs,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Incentive,1,3,0.33,USD,2.38,2.38,0,0.00,0.00,Search
,,,,,,best selling holiday gifts for clients,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Gifts,1,3,0.33,USD,1.70,1.70,0,0.00,0.00,Search
,,,,,,referral bonus program,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Referral,1,3,0.33,USD,1.78,1.78,0,0.00,0.00,Search
